DateTime,Depth,surface_height
11/19/2017,10.3,10.3
11/20/2017,10.3,10.3
11/21/2017,10.3,10.3
11/22/2017,10.3,10.3
11/23/2017,10.4,10.4
11/24/2017,10.4,10.4
11/25/2017,10.4,10.4
11/26/2017,10.4,10.4
11/27/2017,10.4,10.4
11/28/2017,10.4,10.4
11/29/2017,10.4,10.4
11/30/2017,10.4,10.4
12/1/2017,10.4,10.4
12/2/2017,10.4,10.4
12/3/2017,10.4,10.4
12/4/2017,10.4,10.4
12/5/2017,10.4,10.4
12/6/2017,10.4,10.4
12/7/2017,10.4,10.4
12/8/2017,10.4,10.4
12/9/2017,10.4,10.4
12/10/2017,10.4,10.4
12/11/2017,10.4,10.4
12/12/2017,10.4,10.4
12/13/2017,10.4,10.4
12/14/2017,10.4,10.4
12/15/2017,10.4,10.4
12/16/2017,10.4,10.4
12/17/2017,10.4,10.4
12/18/2017,10.4,10.4
12/19/2017,10.4,10.4
12/20/2017,10.4,10.4
12/21/2017,10.4,10.4
12/22/2017,10.4,10.4
12/23/2017,10.4,10.4
12/24/2017,10.4,10.4
12/25/2017,10.4,10.4
12/26/2017,10.4,10.4
12/27/2017,10.4,10.4
12/28/2017,10.4,10.4
12/29/2017,10.4,10.4
12/30/2017,10.4,10.4
12/31/2017,10.4,10.4
1/1/2018,10.4,10.4
1/2/2018,10.4,10.4
1/3/2018,10.4,10.4
1/4/2018,10.4,10.4
1/5/2018,10.4,10.4
1/6/2018,10.4,10.4
1/7/2018,10.4,10.4
1/8/2018,10.4,10.4
1/9/2018,10.4,10.4
1/10/2018,10.5,10.5
1/11/2018,10.5,10.5
1/12/2018,10.5,10.5
1/13/2018,10.5,10.5
1/14/2018,10.5,10.5
1/15/2018,10.5,10.5
1/16/2018,10.5,10.5
1/17/2018,10.5,10.5
1/18/2018,10.5,10.5
1/19/2018,10.5,10.5
1/20/2018,10.6,10.6
1/21/2018,10.6,10.6
1/22/2018,10.6,10.6
1/23/2018,10.6,10.6
1/24/2018,10.6,10.6
1/25/2018,10.6,10.6
1/26/2018,10.6,10.6
1/27/2018,10.6,10.6
1/28/2018,10.6,10.6
1/29/2018,10.6,10.6
1/30/2018,10.6,10.6
1/31/2018,10.6,10.6
2/1/2018,10.6,10.6
2/2/2018,10.6,10.6
2/3/2018,10.6,10.6
2/4/2018,10.6,10.6
2/5/2018,10.6,10.6
2/6/2018,10.6,10.6
2/7/2018,10.6,10.6
2/8/2018,10.6,10.6
2/9/2018,10.6,10.6
2/10/2018,10.6,10.6
2/11/2018,10.6,10.6
2/12/2018,10.6,10.6
2/13/2018,10.6,10.6
2/14/2018,10.6,10.6
2/15/2018,10.6,10.6
2/16/2018,10.6,10.6
2/17/2018,10.6,10.6
2/18/2018,10.6,10.6
2/19/2018,10.6,10.6
2/20/2018,10.7,10.7
2/21/2018,10.7,10.7
2/22/2018,10.7,10.7
2/23/2018,10.7,10.7
2/24/2018,10.7,10.7
2/25/2018,10.7,10.7
2/26/2018,10.7,10.7
2/27/2018,10.8,10.8
2/28/2018,10.8,10.8
3/1/2018,10.8,10.8
3/2/2018,10.8,10.8
3/3/2018,10.9,10.9
3/4/2018,10.9,10.9
3/5/2018,10.9,10.9
3/6/2018,11,11
3/7/2018,11.1,11.1
3/8/2018,11.1,11.1
3/9/2018,11.1,11.1
3/10/2018,11.1,11.1
3/12/2018,11.1,11.1
3/13/2018,11.1,11.1
3/14/2018,11.1,11.1
3/15/2018,11.1,11.1
3/16/2018,11.1,11.1
3/17/2018,11.1,11.1
3/18/2018,11.1,11.1
3/19/2018,11.1,11.1
3/20/2018,11.2,11.2
3/21/2018,11.2,11.2
3/22/2018,11.2,11.2
3/23/2018,11.2,11.2
3/24/2018,11.2,11.2
3/25/2018,11.2,11.2
3/26/2018,11.2,11.2
3/27/2018,11.2,11.2
3/28/2018,11.2,11.2
3/29/2018,11.2,11.2
3/30/2018,11.2,11.2
3/31/2018,11.2,11.2
4/1/2018,11.2,11.2
4/2/2018,11.1,11.1
4/3/2018,11.1,11.1
4/4/2018,11.1,11.1
4/5/2018,11.1,11.1
4/6/2018,11.1,11.1
4/7/2018,11.1,11.1
4/8/2018,11.1,11.1
4/9/2018,11.1,11.1
4/10/2018,11.1,11.1
4/11/2018,11.1,11.1
4/12/2018,11.1,11.1
4/13/2018,11.1,11.1
